Company Name ,Symbol,Price,Market Cap,sustainability index,profitability index
Roche Holding AG,ROG,272.76,5108821803.0,99.55109478667964,93.51961081490711
CSX Corporation,CSX,34.10,75633234315.0,96.96820703705184,92.33054843675039
Centrica,CNA,44.72,12135213968.0,95.97285583593381,92.98180171314368
3M Company,MMM,172.65,99490046438.0,96.31420872700166,92.59454333765484
"Prudential Financial, Inc.",PRU,110.01,41583780000.0,99.95978103582524,90.54654824768853
Prudential PLC,PRU,110.01,41583780000.0,99.93177211131952,90.54654824768853
Statoil ASA,STL,27.79,5355154315.0,91.41188684262167,93.34322165202363
Enbridge Inc.,ENB,40.81,82684536155.0,96.69323558029801,92.56329728921317
adidas AG,ADS,64.61,3216615892.0,99.96303925085869,92.59248413136984
"The Home Depot, Inc.",HD,349.10,364543896691.0,98.48714898295479,93.21049316394368
Las Vegas Sands Corporation,LVS,43.75,33424551650.0,99.4310053561693,94.08304675475728
GlaxoSmithKline,GSK,45.10,113467295385.0,99.01546667182969,94.19659524745855
Air Liquide,AI,25.45,2673200099.0,87.95220106555695,92.75289492558093
Sasol Limited,SOL,5.56,387801143.0,58.91362506222149,93.46095323590983
Bank of America,BAC,44.92,387536184636.0,99.16317550595876,92.73651973914659
Vinci,DG,210.18,48700073011.0,98.69996330324088,91.20229171525527
Mondelez International Inc,MDLZ,68.36,95360294944.0,98.89523129419766,94.73808679830346
Teva Pharmaceutical Industries Ltd,TEVA,8.51,9386591000.0,99.47184724770996,93.70516861228944
Banco Santander,SAN,3.46,58979401255.0,99.79690731551264,93.80271905765575
SANOFI,SAN,3.46,58979401255.0,99.24932133910423,93.80271905765575
FedEx Corporation,FDX,244.91,64893641549.0,91.52637745836373,85.85374196730218
Union Pacific Corporation,UNP,246.33,158359571181.0,93.46459934504615,100.0
"Franklin Resources, Inc.",BEN,31.82,15990201419.0,99.98046196079764,92.6516102600281
AXA Group,CS,9.68,23155600029.0,99.90743990521862,93.63665449199775
"Medtronic, Inc.",MDT,105.60,141985301990.0,99.89092340165212,93.16881022999407
Kimberly-Clark Corporation,KMB,143.32,48258240597.0,97.04422806092074,96.38337301188852
Vodacom Group,VOD,15.83,42906128492.0,99.75727893616815,93.34945308743609
Vodafone Group,VOD,15.83,42906128492.0,98.5943259052489,93.34945308743609
Thermo Fisher Scientific Inc.,TMO,580.33,228677926329.0,99.80340414074227,82.98956877545787
Norfolk Southern Corp.,NSC,276.42,67265289178.0,97.18112809478512,89.99015113267865
Chevron Corporation,CVX,126.91,244642619980.0,66.01463924542628,91.73916089638321
"Praxair, Inc.",PX,12.25,1435156051.0,90.91525438277745,93.36661013040988
Twenty-First Century Fox,FOX,34.82,19832989221.0,99.76227373679268,93.25896678819988
Costco Wholesale Corporation,COST,481.61,213561519582.0,99.15103684423465,92.17996011647168
Newmont Mining Corporation,NEM,63.09,50310193329.0,97.16980194464884,92.8399457817439
BHP Billiton,BHP,64.97,164449108125.0,78.1089390349081,89.76488313436897
Google Inc.,GOOG,2601.84,1727007710149.0,99.35449693426347,0.0
Microsoft Corporation,MSFT,296.03,2222587450837.0,99.31705169513609,86.17299631600342
"Adobe Systems, Inc.",ADBE,499.91,237857178000.0,99.98699037159838,78.78073867574189
Bank of Nova Scotia (Scotiabank),BNS,71.46,86874286303.0,99.9223907991579,92.09868935607338
The Coca-Cola Company,KO,60.45,261108953266.0,97.99150983486403,93.4640854583008
Bristol-Myers Squibb,BMY,63.54,141036239170.0,99.7111285284866,92.44279757345981
Monsanto Company,MON,9.735,304218750.0,98.83070741821207,93.90616851715616
Anglo American,AAL,16.30,10554486709.0,90.26704875755271,93.25527418238934
Tata Consultancy Services,TCS,9.79,495825407.0,99.80522248939623,93.37098676370978
State Street Corporation,STT,90.99,33268598451.0,99.94177613301554,89.49958711415164
"Lowe's Companies, Inc.",LOW,225.02,151606592469.0,98.44543914714902,95.43072028169395
CSL,CSL,227.59,11899445286.0,99.89626626437868,91.88204357434543
EDF,EDF,6.24,105105917.0,56.239982708960504,93.81550877766462
Arcelor Mittal,MT,31.83,29010353455.0,4.455743841480981,90.85042107661558
Canadian Natural Resources Limited,CNQ,50.79,59770637010.0,89.08963941372564,91.19874341963687
General Electric Company,GE,96.30,105750605426.0,97.34618557613469,91.18952809239748
Tesco,TSCO,209.11,23799838758.0,97.17852827553564,92.78794509225435
Oracle Corporation,ORCL,82.22,219564152340.0,99.7519964454487,93.1848497506394
Woolworths Limited,WOW,18.58,1619470443.0,98.43102904719919,93.82885076981637
Unibail-Rodamco,UL,49.31,126542656687.0,99.95637251703964,93.75858771720601
"Marsh & McLennan Companies, Inc.",MMC,157.05,79293817387.0,99.9460850747466,92.2881223687909
Dow Chemical Company,DOW,56.72,41950929449.0,80.48765928663005,92.37779203879717
JPMorgan Chase & Co.,JPM,145.08,427130028000.0,99.29137153666763,90.3105818280975
Westfield Group,WDC,57.81,18014921063.0,99.73756401776758,91.01545656812739
Colgate Palmolive Company,CL,83.67,70521149976.0,99.6374274103577,94.42308621469357
Honeywell International Inc.,HON,205.10,141195552173.0,96.03150751858736,88.59712463649086
Halliburton Company,HAL,27.54,24651498385.0,97.2502465822093,93.05787765928964
ConocoPhillips,COP,82.72,109103284838.0,85.94597272138488,89.92166353273502
AT&T Inc.,T,26.61,190022010000.0,95.1852603625153,93.31640005814785
Credit Agricole,ACA,47.86,2313058437.0,99.98554669316722,93.06337654061834
Compass,CPG,6.10,3550118065.0,99.95460669301212,93.50958936783107
Imperial Oil,IMO,40.21,27970531821.0,93.93001491363822,92.26934497486711
Abbott Laboratories,ABT,125.83,222503549309.0,99.45174400649577,95.4786292200273
Kumba Iron Ore,KIO,16.10,327479072.0,99.47571255375746,93.51139641921047
